date,kospi,usdkrw,sp500,vix,kospi_vol_20d,kospi_vol_60d,usdkrw_vol_20d,usdkrw_vol_60d,bis_ratio
1995-01-01,,,470.4200134277344,11.960000038146973,,,,,
1995-02-01,,,487.3900146484375,11.75,,,,,
1995-03-01,,,500.7099914550781,13.369999885559082,,,,,
1995-04-01,,,514.7100219726562,11.75,,,,,
1995-05-01,,,533.4000244140625,12.850000381469727,,,,,
1995-06-01,,,544.75,11.380000114440918,,,,,
1995-07-01,,,562.0599975585938,13.489999771118164,,,,,
1995-08-01,,,561.8800048828125,11.520000457763672,,,,,
1995-09-01,,,584.4099731445312,12.739999771118164,,,,,
1995-10-01,,,581.5,13.829999923706055,,,,,
1995-11-01,,,605.3699951171875,11.579999923706055,,,,,
1995-12-01,,,615.9299926757812,12.520000457763672,,,,,
1996-01-01,,,636.02001953125,12.529999732971191,,,,,
1996-02-01,,,640.4299926757812,17.040000915527344,,,,,
1996-03-01,,,645.5,18.8799991607666,,,,,
1996-04-01,,,654.1699829101562,15.829999923706055,,,,,
1996-05-01,,,669.1199951171875,16.06999969482422,,,,,
1996-06-01,,,670.6300048828125,13.680000305175781,,,,,
1996-07-01,,,639.9500122070312,19.459999084472656,,,,,
1996-08-01,,,651.989990234375,17.010000228881836,,,,,
1996-09-01,,,687.3300170898438,16.950000762939453,,,,,
1996-10-01,,,705.27001953125,18.110000610351562,,,,,
1996-11-01,,,757.02001953125,17.139999389648438,,,,,
1996-12-01,651.219970703125,,740.739990234375,20.920000076293945,,,,,
1997-01-01,685.8400268554688,,786.1599731445312,19.469999313354492,0.3621514823763494,,,,
1997-02-01,676.530029296875,,790.8200073242188,21.100000381469727,0.30427832726495413,,,,
1997-03-01,677.3400268554688,,757.1199951171875,22.139999389648438,0.23173404151526392,,,,
1997-04-01,703.22998046875,,801.3400268554688,20.059999465942383,0.24376348650840954,,,,
1997-05-01,746.3599853515625,,848.280029296875,19.190000534057617,,,,,
1997-06-01,745.4000244140625,,885.1400146484375,21.530000686645508,,,,,
1997-07-01,726.1199951171875,,954.3099975585938,21.479999542236328,0.1933412597879702,,,,
1997-08-01,704.27001953125,,899.469970703125,24.760000228881836,,,,,
1997-09-01,647.1099853515625,,947.280029296875,22.90999984741211,,,,,
1997-10-01,470.7900085449219,,914.6199951171875,35.09000015258789,,,,,
1997-11-01,411.9100036621094,,955.4000244140625,27.43000030517578,0.691353520779549,,,,
1997-12-01,375.1499938964844,,970.4299926757812,24.010000228881836,0.6988864987072108,,,,
1998-01-01,558.3300170898438,,980.280029296875,21.469999313354492,,,,,
1998-02-01,548.4199829101562,,1049.3399658203125,18.549999237060547,0.5069844180703635,,,,
1998-03-01,481.0400085449219,,1101.75,24.219999313354492,0.48889723647293837,,,,
1998-04-01,421.2200012207031,,1111.75,21.18000030517578,0.42157304939479606,0.4551966982333767,,,
1998-05-01,336.6300048828125,,1090.8199462890625,21.31999969482422,,,,,
1998-06-01,297.8800048828125,,1133.8399658203125,19.709999084472656,0.4673063302600481,,,,
1998-07-01,343.3299865722656,,1120.6700439453125,24.799999237060547,0.555240273268722,,,,
1998-08-01,310.1600036621094,,957.280029296875,44.279998779296875,0.3768398415813058,,,,
1998-09-01,310.32000732421875,,1017.010009765625,40.95000076293945,0.3834501964172551,,,,
1998-10-01,384.75,,1098.6700439453125,28.049999237060547,0.4302465060098355,,,,
1998-11-01,451.8800048828125,,1163.6300048828125,26.010000228881836,0.40416822935094737,,,,
1998-12-01,562.4600219726562,,1229.22998046875,24.420000076293945,0.516414660562747,,,,
1999-01-01,571.4299926757812,,1279.6400146484375,26.25,,,,,
1999-02-01,520.0599975585938,,1238.3299560546875,27.8799991607666,0.459102292919094,,,,
1999-03-01,618.97998046875,,1286.3699951171875,23.260000228881836,0.3285137407457338,,,,
1999-04-01,752.5900268554688,,1335.1800537109375,25.06999969482422,0.33401832055881314,,,,
1999-05-01,736.02001953125,,1301.8399658203125,25.389999389648438,0.37888989238808163,,,,
1999-06-01,883.0,,1372.7099609375,21.09000015258789,0.4405057341844886,,,,
1999-07-01,969.719970703125,,1328.719970703125,24.639999389648438,0.4206981348375129,0.46625106426761864,,,
1999-08-01,937.8800048828125,,1320.4100341796875,24.450000762939453,0.4866498293758956,0.46109841339565083,,,
1999-09-01,836.1799926757812,,1282.7099609375,25.40999984741211,0.33627699455050597,0.4226098671646881,,,
1999-10-01,833.510009765625,,1362.9300537109375,22.200000762939453,0.3865929455056263,,,,
1999-11-01,996.6599731445312,,1388.9100341796875,24.18000030517578,0.3502098868041251,,,,
1999-12-01,1028.0699462890625,,1469.25,24.639999389648438,0.33054868277242266,0.35308774215014654,,,
2000-01-01,943.8800048828125,,1394.4599609375,24.950000762939453,,,,,
2000-02-01,828.3800048828125,,1366.4200439453125,23.3700008392334,0.39954622895195585,,,,
2000-03-01,860.9400024414062,,1498.5799560546875,24.110000610351562,0.2981587058971984,,,,
2000-04-01,725.3900146484375,,1452.4300537109375,26.200000762939453,0.30861071250355726,,,,
2000-05-01,731.8800048828125,,1420.5999755859375,23.649999618530273,,,,,
2000-06-01,821.219970703125,,1454.5999755859375,19.540000915527344,,,,,
2000-07-01,705.969970703125,,1430.8299560546875,20.739999771118164,0.3308732687811689,,,,
2000-08-01,688.6199951171875,,1517.6800537109375,16.84000015258789,,,,,
2000-09-01,613.219970703125,,1436.510009765625,20.56999969482422,,,,,
2000-10-01,514.47998046875,,1429.4000244140625,23.6299991607666,,,,,
2000-11-01,509.2300109863281,,1314.949951171875,29.649999618530273,0.4613632098409658,,,,
2000-12-01,504.6199951171875,,1320.280029296875,26.850000381469727,0.39081011329458465,,,,
2001-01-01,617.9099731445312,,1366.010009765625,22.020000457763672,,,,,
2001-02-01,578.0999755859375,,1239.93994140625,28.350000381469727,0.301447651857677,,,,
2001-03-01,523.219970703125,,1160.3299560546875,28.639999389648438,0.2727529535414192,,,,
2001-04-01,577.3599853515625,,1249.4599609375,25.479999542236328,0.2752844774088227,,,,
2001-05-01,612.1599731445312,,1255.8199462890625,22.639999389648438,0.24899411743180253,,,,
2001-06-01,595.1300048828125,,1224.3800048828125,19.059999465942383,0.261848824582551,,,,
2001-07-01,541.5499877929688,,1211.22998046875,21.6200008392334,0.2017150928462031,,,,
2001-08-01,545.1099853515625,,1133.5799560546875,24.920000076293945,,,,,
2001-09-01,479.67999267578125,,1040.93994140625,31.93000030517578,0.5409801481355347,,,,
2001-10-01,537.8099975585938,,1059.780029296875,33.560001373291016,,,,,
2001-11-01,643.8900146484375,,1139.449951171875,23.84000015258789,0.21760042183025738,,,,
2001-12-01,693.7000122070312,,1148.0799560546875,23.799999237060547,0.41962275176008323,0.3184639462782355,,,
2002-01-01,748.0700073242188,,1130.199951171875,21.09000015258789,0.3157643846261175,,,,
2002-02-01,819.989990234375,,1106.72998046875,21.59000015258789,0.29173231232376245,,,,
2002-03-01,895.5800170898438,,1147.3900146484375,17.399999618530273,,,,,
2002-04-01,842.3400268554688,,1076.9200439453125,21.90999984741211,0.22645030626128484,,,,
2002-05-01,796.4000244140625,,1067.1400146484375,19.979999542236328,0.32535522454186966,,,,
2002-06-01,742.719970703125,,989.8200073242188,25.399999618530273,0.3075480010985221,,,,
2002-07-01,717.989990234375,,911.6199951171875,32.029998779296875,,,,,
2002-08-01,736.4000244140625,,916.0700073242188,32.63999938964844,,,,,
