date,base_rate,cpi,m2,hh_loan,corp_bond,gov_bond,credit_spread,hh_loan_yoy,kospi,usdkrw,sp500,vix,kospi_vol_20d,kospi_vol_60d,usdkrw_vol_20d,usdkrw_vol_60d,bis_ratio
1995-01-01,,50.847,,,,,,,,,470.4200134277344,11.960000038146973,,,,,
1995-02-01,,51.055,,,,,,,,,487.3900146484375,11.75,,,,,
1995-03-01,,51.574,,,,,,,,,500.7099914550781,13.369999885559082,,,,,
1995-04-01,,51.886,,,,,,,,,514.7100219726562,11.75,,,,,
1995-05-01,,51.99,,,,,,,,,533.4000244140625,12.850000381469728,,,,,
1995-06-01,,51.835,,,,,,,,,544.75,11.380000114440918,,,,,
1995-07-01,,51.99,,,,,,,,,562.0599975585938,13.489999771118164,,,,,
1995-08-01,,52.302,,,,,,,,,561.8800048828125,11.520000457763672,,,,,
1995-09-01,,52.77,,,,,,,,,584.4099731445312,12.739999771118164,,,,,
1995-10-01,,52.511,,,,,,,,,581.5,13.829999923706056,,,,,
1995-11-01,,52.406,,,,,,,,,605.3699951171875,11.579999923706056,,,,,
1995-12-01,,52.77,,,,,,,,,615.9299926757812,12.520000457763672,,,,,
1996-01-01,,53.289,,,,,,,,,636.02001953125,12.529999732971191,,,,,
1996-02-01,,53.499,,,,,,,,,640.4299926757812,17.040000915527344,,,,,
1996-03-01,,53.862,,,,,,,,,645.5,18.8799991607666,,,,,
1996-04-01,,54.226,,,,,,,,,654.1699829101562,15.829999923706056,,,,,
1996-05-01,,54.538,,,,,,,,,669.1199951171875,16.06999969482422,,,,,
1996-06-01,,54.538,,,,,,,,,670.6300048828125,13.68000030517578,,,,,
1996-07-01,,54.798,,,,,,,,,639.9500122070312,19.459999084472656,,,,,
1996-08-01,,55.057,,,,,,,,,651.989990234375,17.010000228881836,,,,,
1996-09-01,,55.162,,,,,,,,,687.3300170898438,16.950000762939453,,,,,
1996-10-01,,55.162,,,,,,,,,705.27001953125,18.11000061035156,,,,,
1996-11-01,,55.162,,,,,,,,,757.02001953125,17.139999389648438,,,,,
1996-12-01,,55.369,,,,,,,651.219970703125,,740.739990234375,20.920000076293945,,,,,
1997-01-01,,55.786,,,,,,,685.8400268554688,,786.1599731445312,19.46999931335449,0.3621514823763494,,,,
1997-02-01,,56.097,,,,,,,676.530029296875,,790.8200073242188,21.100000381469727,0.3042783272649541,,,,
1997-03-01,,56.305,,,,,,,677.3400268554688,,757.1199951171875,22.13999938964844,0.2317340415152639,,,,
1997-04-01,,56.565,,,,,,,703.22998046875,,801.3400268554688,20.059999465942383,0.2437634865084095,,,,
1997-05-01,,56.617,,,,,,,746.3599853515625,,848.280029296875,19.190000534057617,,,,,
1997-06-01,,56.721,,,,,,,745.4000244140625,,885.1400146484375,21.530000686645508,,,,,
1997-07-01,,56.825,,,,,,,726.1199951171875,,954.3099975585938,21.479999542236328,0.1933412597879702,,,,
1997-08-01,,57.24,,,,,,,704.27001953125,,899.469970703125,24.76000022888184,,,,,
